point_id,cut,n_seeds_ok,bull_regime_ic,per_regime_json,lr,weight_decay,warmup_epochs,seq_len,lr_coded,weight_decay_coded,warmup_epochs_coded,seq_len_coded,is_center
0,cut1_covid,3,-0.013641921113387316,"{""BULL_VOLATILE"": -0.013641921113387316, ""CHOPPY"": 0.05667821025591, ""BEAR"": 0.022108177001373817}",1e-05,0.01,4,8,-1.0,-1.0,-1.0,-1.0,False
0,cut3_inflpk,2,0.03537031556074187,"{""BEAR"": 0.07646391185584252, ""BULL_VOLATILE"": 0.03537031556074187}",1e-05,0.01,4,8,-1.0,-1.0,-1.0,-1.0,False
0,cut5_unwind,3,0.019165904748715594,"{""BULL_VOLATILE"": 0.019165904748715594, ""CHOPPY"": 0.013063660700036187, ""BEAR"": 0.12209749176770693}",1e-05,0.01,4,8,-1.0,-1.0,-1.0,-1.0,False
1,cut1_covid,3,0.1065393620134621,"{""BULL_VOLATILE"": 0.1065393620134621, ""CHOPPY"": 0.06613175950313792, ""BEAR"": 0.1790916830153511}",0.0001,0.01,4,24,1.0,-1.0,-1.0,1.0,False
1,cut3_inflpk,3,0.10028818629465668,"{""BEAR"": -0.02543168110443412, ""BULL_VOLATILE"": 0.10028818629465668}",0.0001,0.01,4,24,1.0,-1.0,-1.0,1.0,False
1,cut5_unwind,3,-0.032725987003893224,"{""BULL_VOLATILE"": -0.032725987003893224, ""CHOPPY"": 0.03535614046791261, ""BEAR"": -0.059899292700694315}",0.0001,0.01,4,24,1.0,-1.0,-1.0,1.0,False
2,cut1_covid,3,0.03941452866387019,"{""BULL_VOLATILE"": 0.03941452866387019, ""CHOPPY"": -0.045255747406757064, ""BEAR"": 0.04876138706988508}",1e-05,0.3,4,24,-1.0,1.0,-1.0,1.0,False
2,cut3_inflpk,3,0.1298491716794821,"{""BEAR"": 0.031655825098820416, ""BULL_VOLATILE"": 0.1298491716794821}",1e-05,0.3,4,24,-1.0,1.0,-1.0,1.0,False
2,cut5_unwind,3,-0.031136128297078965,"{""BULL_VOLATILE"": -0.031136128297078965, ""CHOPPY"": -0.08059567167495174, ""BEAR"": -0.0013600168860198824}",1e-05,0.3,4,24,-1.0,1.0,-1.0,1.0,False
3,cut1_covid,3,-0.017581374174877252,"{""BULL_VOLATILE"": -0.017581374174877252, ""CHOPPY"": 0.03485188436900465, ""BEAR"": 0.01573705366149577}",0.0001,0.3,4,8,1.0,1.0,-1.0,-1.0,False
3,cut3_inflpk,3,0.024054104244319287,"{""BEAR"": 0.057753545980431496, ""BULL_VOLATILE"": 0.024054104244319287}",0.0001,0.3,4,8,1.0,1.0,-1.0,-1.0,False
3,cut5_unwind,3,0.01610293626942932,"{""BULL_VOLATILE"": 0.01610293626942932, ""CHOPPY"": 0.02039750491030032, ""BEAR"": 0.09431404787882047}",0.0001,0.3,4,8,1.0,1.0,-1.0,-1.0,False
4,cut1_covid,3,0.03922527883458525,"{""BULL_VOLATILE"": 0.03922527883458525, ""CHOPPY"": -0.044707020453289115, ""BEAR"": 0.04981059565727625}",1e-05,0.01,10,24,-1.0,-1.0,1.0,1.0,False
4,cut3_inflpk,2,0.1275404448315097,"{""BEAR"": 0.029726928607851363, ""BULL_VOLATILE"": 0.1275404448315097}",1e-05,0.01,10,24,-1.0,-1.0,1.0,1.0,False
