cut,seed,regime,ic
cut1_covid,42,BULL_VOLATILE,0.22435014470132997
cut1_covid,42,CHOPPY,0.22488618996520668
cut1_covid,42,BEAR,0.3264930915074444
cut1_covid,42,_MIN_,0.22435014470132997
cut1_covid,43,BULL_VOLATILE,0.168698500959256
cut1_covid,43,CHOPPY,0.16213133678015154
cut1_covid,43,BEAR,0.32024958865122977
cut1_covid,43,_MIN_,0.16213133678015154
cut1_covid,44,BULL_VOLATILE,0.22239228693135632
cut1_covid,44,CHOPPY,0.20820895522388064
cut1_covid,44,BEAR,0.3802360868855774
cut1_covid,44,_MIN_,0.20820895522388064
cut1_covid,46,BULL_VOLATILE,0.21223181478229766
cut1_covid,46,CHOPPY,0.24360387604461353
cut1_covid,46,BEAR,0.3288875826463709
cut1_covid,46,_MIN_,0.21223181478229766
cut2_fed,42,BULL_VOLATILE,-0.3369376934820858
cut2_fed,42,BEAR,-0.2669751221925521
cut2_fed,42,_MIN_,-0.3369376934820858
cut1_covid,45,BULL_VOLATILE,0.2285066497577472
cut1_covid,45,CHOPPY,0.2273908236594804
cut1_covid,45,BEAR,0.38406954972609125
cut1_covid,45,_MIN_,0.2273908236594804
cut2_fed,43,BULL_VOLATILE,-0.38641434312781453
cut2_fed,43,BEAR,-0.327889174051107
cut2_fed,43,_MIN_,-0.38641434312781453
cut2_fed,44,BULL_VOLATILE,-0.401268142813786
cut2_fed,44,BEAR,-0.34288294357385407
cut2_fed,44,_MIN_,-0.401268142813786
cut2_fed,45,BULL_VOLATILE,-0.3894409083074045
cut2_fed,45,BEAR,-0.32774318587114476
cut2_fed,45,_MIN_,-0.3894409083074045
cut2_fed,46,BULL_VOLATILE,-0.36172710830922306
cut2_fed,46,BEAR,-0.28984452573151
cut2_fed,46,_MIN_,-0.36172710830922306
cut3_inflpk,42,BEAR,0.1035672659115199
cut3_inflpk,42,BULL_VOLATILE,0.19770386796949344
cut3_inflpk,42,_MIN_,0.1035672659115199
cut3_inflpk,43,BEAR,0.13607313738365406
cut3_inflpk,43,BULL_VOLATILE,0.22760662831176554
cut3_inflpk,43,_MIN_,0.13607313738365406
cut3_inflpk,45,BEAR,0.06437781440701075
cut3_inflpk,45,BULL_VOLATILE,0.1842369072902221
cut3_inflpk,45,_MIN_,0.06437781440701075
cut3_inflpk,44,BEAR,0.0802331439046657
cut3_inflpk,44,BULL_VOLATILE,0.20499398119529363
cut3_inflpk,44,_MIN_,0.0802331439046657
cut3_inflpk,46,BEAR,0.07431088330188015
cut3_inflpk,46,BULL_VOLATILE,0.15455724732218376
cut3_inflpk,46,_MIN_,0.07431088330188015
cut4_svb,42,BULL_VOLATILE,0.2040300239443262
cut4_svb,42,_MIN_,0.2040300239443262
cut4_svb,44,BULL_VOLATILE,0.15851611375831512
cut4_svb,44,_MIN_,0.15851611375831512
cut4_svb,43,BULL_VOLATILE,0.18193148514513519
cut4_svb,43,_MIN_,0.18193148514513519
cut4_svb,45,BULL_VOLATILE,0.20818583170177526
cut4_svb,45,_MIN_,0.20818583170177526
cut5_unwind,42,BULL_VOLATILE,0.06264064061710246
cut5_unwind,42,CHOPPY,-0.01607708663313652
cut5_unwind,42,BEAR,0.20325749109693017
cut5_unwind,42,_MIN_,-0.01607708663313652
cut4_svb,46,BULL_VOLATILE,0.23409522519652362
cut4_svb,46,_MIN_,0.23409522519652362
cut5_unwind,43,BULL_VOLATILE,0.06404506551176022
cut5_unwind,43,CHOPPY,0.09177489636806606
cut5_unwind,43,BEAR,0.2653944383547904
cut5_unwind,43,_MIN_,0.06404506551176022
cut5_unwind,44,BULL_VOLATILE,0.0514096956734835
cut5_unwind,44,CHOPPY,0.025994312003421928
cut5_unwind,44,BEAR,0.2722525947765443
cut5_unwind,44,_MIN_,0.025994312003421928
cut5_unwind,45,BULL_VOLATILE,0.005242115905251303
cut5_unwind,45,CHOPPY,0.023620570041221756
cut5_unwind,45,BEAR,0.193597446782028
cut5_unwind,45,_MIN_,0.005242115905251303
cut5_unwind,46,BULL_VOLATILE,0.023340341341945462
cut5_unwind,46,CHOPPY,0.0352398714448959
cut5_unwind,46,BEAR,0.24743069593680783
cut5_unwind,46,_MIN_,0.023340341341945462
