action,ticker,date,price,shares,invest,regime,rank_score,rs_score,sigma,mu,sigma_mult,source,order_type,confidence,kelly_target_pct,attribution_version,source_job,source_task,order_source,panel_score,expected_return,score_snapshot,decision_inputs,event_id,gross_pnl,proceeds_basis,net_pnl_after_tax,pnl_pct,hold_days,tax,exit_reason,partial,exit_signal_reason,exit_stop_loss_pct,exit_stop_n_sigma,exit_max_single_day_loss_pct,exit_sdl_n_sigma,exit_trailing_stop_trigger_pct,exit_trailing_stop_trail_pct,exit_atr_n_multiplier,exit_max_hold_days
buy,MMM,2024-07-02,101.64032674713134,52.0,5285.296990850829,BULL_CALM,0.5203559889211309,0.0,0.20124928762015207,0.011835209098811647,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,-0.1504104882478714,,"{'rank_score': 0.5203559889211309, 'panel_score': -0.1504104882478714, 'rs_score': 0.0, 'mu': 0.011835209098811647, 'sigma': 0.20124928762015207, 'kelly_target_pct': 0.075, 'expected_return': 0.011835209098811647, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.05284640872152487, 'target_w': 0.05284640872152487, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",0,,,,,,,,,,,,,,,,,
buy,PH,2024-07-02,510.13200477905275,10.0,5101.3200477905275,BULL_CALM,0.5248821242017815,0.0,0.2209430442624521,0.013429587886847309,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,-0.13261204957962036,,"{'rank_score': 0.5248821242017815, 'panel_score': -0.13261204957962036, 'rs_score': 0.0, 'mu': 0.013429587886847309, 'sigma': 0.2209430442624521, 'kelly_target_pct': 0.075, 'expected_return': 0.013429587886847309, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.05160645775429021, 'target_w': 0.05160645775429021, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",1,,,,,,,,,,,,,,,,,
buy,WMT,2024-07-02,68.08361369476319,86.0,5855.190777749634,BULL_CALM,0.52768477692358,-0.02659249712522893,0.1964129877036622,0.014416714253628216,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,-0.12158331274986267,,"{'rank_score': 0.52768477692358, 'panel_score': -0.12158331274986267, 'rs_score': -0.02659249712522893, 'mu': 0.014416714253628216, 'sigma': 0.1964129877036622, 'kelly_target_pct': 0.075, 'expected_return': 0.014416714253628216, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.05913405593683252, 'target_w': 0.05913405593683252, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",2,,,,,,,,,,,,,,,,,
buy,AEP,2024-07-03,87.57750955810546,85.0,7444.088312438964,BULL_CALM,0.528590059092082,0.0,0.17268032092177274,0.01473554219601981,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,-0.11801934242248535,,"{'rank_score': 0.528590059092082, 'panel_score': -0.11801934242248535, 'rs_score': 0.0, 'mu': 0.01473554219601981, 'sigma': 0.17268032092177274, 'kelly_target_pct': 0.075, 'expected_return': 0.01473554219601981, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.07499999911763222, 'target_w': 0.07499999911763222, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",3,,,,,,,,,,,,,,,,,
buy,TJX,2024-07-05,111.66232738952637,58.0,6476.414988592529,BULL_CALM,0.5204804820247132,0.0,0.16401997715559202,0.011879069353633418,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,-0.1499212086200714,,"{'rank_score': 0.5204804820247132, 'panel_score': -0.1499212086200714, 'rs_score': 0.0, 'mu': 0.011879069353633418, 'sigma': 0.16401997715559202, 'kelly_target_pct': 0.075, 'expected_return': 0.011879069353633418, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.06477650959698089, 'target_w': 0.06477650959698089, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",4,,,,,,,,,,,,,,,,,
buy,VTR,2024-07-05,52.46049076309204,96.0,5036.207113256836,BULL_CALM,0.5218295718238682,0.0,0.2120844444539099,0.012354325740166833,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,-0.14461728930473328,,"{'rank_score': 0.5218295718238682, 'panel_score': -0.14461728930473328, 'rs_score': 0.0, 'mu': 0.012354325740166833, 'sigma': 0.2120844444539099, 'kelly_target_pct': 0.075, 'expected_return': 0.012354325740166833, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.050762857210031966, 'target_w': 0.050762857210031966, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",5,,,,,,,,,,,,,,,,,
buy,UNH,2024-07-08,489.4378643371582,10.0,4894.378643371582,BULL_CALM,0.5347542109137813,-0.01125368249810188,0.2538748172159311,0.016906271007963405,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,-0.09373201429843903,,"{'rank_score': 0.5347542109137813, 'panel_score': -0.09373201429843903, 'rs_score': -0.01125368249810188, 'mu': 0.016906271007963405, 'sigma': 0.2538748172159311, 'kelly_target_pct': 0.075, 'expected_return': 0.016906271007963405, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.05312912977466704, 'target_w': 0.05312912977466704, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",6,,,,,,,,,,,,,,,,,
buy,LLY,2024-07-09,932.6865,6.0,5596.119000000001,BULL_CALM,0.5421877377804648,0.1071789326542345,0.24118595515648433,0.019523664966804806,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,-0.06438705325126648,,"{'rank_score': 0.5421877377804648, 'panel_score': -0.06438705325126648, 'rs_score': 0.1071789326542345, 'mu': 0.019523664966804806, 'sigma': 0.24118595515648433, 'kelly_target_pct': 0.075, 'expected_return': 0.019523664966804806, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.05592783829762709, 'target_w': 0.05592783829762709, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",7,,,,,,,,,,,,,,,,,
buy,CSCO,2024-07-10,46.279254457855224,163.0,7543.518476630402,BULL_CALM,0.520946782148493,-0.09044640282163341,0.15216938898372195,0.012043350969462746,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,-0.14808852970600128,,"{'rank_score': 0.520946782148493, 'panel_score': -0.14808852970600128, 'rs_score': -0.09044640282163341, 'mu': 0.012043350969462746, 'sigma': 0.15216938898372195, 'kelly_target_pct': 0.075, 'expected_return': 0.012043350969462746, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.07499999932073577, 'target_w': 0.07499999932073577, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",8,,,,,,,,,,,,,,,,,
buy,XLK,2024-07-12,116.92338152618407,55.0,6430.785983940124,BULL_CALM,0.5205626963831137,0.0,0.18654533428178363,0.011908034353345776,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,-0.14959809184074402,,"{'rank_score': 0.5205626963831137, 'panel_score': -0.14959809184074402, 'rs_score': 0.0, 'mu': 0.011908034353345776, 'sigma': 0.18654533428178363, 'kelly_target_pct': 0.075, 'expected_return': 0.011908034353345776, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.06428539684509417, 'target_w': 0.06428539684509417, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",9,,,,,,,,,,,,,,,,,
