action,ticker,date,price,shares,invest,regime,rank_score,rs_score,sigma,mu,sigma_mult,source,order_type,confidence,kelly_target_pct,attribution_version,source_job,source_task,order_source,panel_score,expected_return,score_snapshot,decision_inputs,event_id,gross_pnl,proceeds_basis,net_pnl_after_tax,pnl_pct,hold_days,tax,exit_reason,partial,exit_signal_reason,exit_stop_loss_pct,exit_stop_n_sigma,exit_max_single_day_loss_pct,exit_sdl_n_sigma,exit_trailing_stop_trigger_pct,exit_trailing_stop_trail_pct,exit_atr_n_multiplier,exit_max_hold_days
buy,MS,2024-07-02,99.66993152618409,59.0,5880.525960044861,BULL_CALM,0.6269427977136907,0.0,0.201885435110876,0.049421886954953455,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,0.2789556682109833,,"{'rank_score': 0.6269427977136907, 'panel_score': 0.2789556682109833, 'rs_score': 0.0, 'mu': 0.049421886954953455, 'sigma': 0.201885435110876, 'kelly_target_pct': 0.075, 'expected_return': 0.049421886954953455, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.058834980857914894, 'target_w': 0.058834980857914894, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",0,,,,,,,,,,,,,,,,,
buy,XOM,2024-07-02,114.20283630523681,58.0,6623.764505703735,BULL_CALM,0.6200651815818012,-0.006435711382558829,0.181157506867246,0.04698687666963634,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,0.2502114474773407,,"{'rank_score': 0.6200651815818012, 'panel_score': 0.2502114474773407, 'rs_score': -0.006435711382558829, 'mu': 0.04698687666963634, 'sigma': 0.181157506867246, 'kelly_target_pct': 0.075, 'expected_return': 0.04698687666963634, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.06736311048393628, 'target_w': 0.06736311048393628, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",1,,,,,,,,,,,,,,,,,
buy,KMI,2024-07-05,19.893977389526366,256.0,5092.85821171875,BULL_CALM,0.5983431724815267,0.0,0.16365299065357564,0.039310491527358556,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,0.16068227589130402,,"{'rank_score': 0.5983431724815267, 'panel_score': 0.16068227589130402, 'rs_score': 0.0, 'mu': 0.039310491527358556, 'sigma': 0.16365299065357564, 'kelly_target_pct': 0.075, 'expected_return': 0.039310491527358556, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.05108723924711391, 'target_w': 0.05108723924711391, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",2,,,,,,,,,,,,,,,,,
buy,BAC,2024-07-17,43.98879554214477,129.0,5674.554624936675,BULL_CALM,0.6105608117290012,0.0,0.20608490244942987,0.04362565800474173,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,0.21081644296646118,,"{'rank_score': 0.6105608117290012, 'panel_score': 0.21081644296646118, 'rs_score': 0.0, 'mu': 0.04362565800474173, 'sigma': 0.20608490244942987, 'kelly_target_pct': 0.075, 'expected_return': 0.04362565800474173, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.056647655625229415, 'target_w': 0.056647655625229415, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",3,,,,,,,,,,,,,,,,,
buy,DUK,2024-07-18,106.93138566284179,48.0,5132.706511816406,BULL_CALM,0.5825027631213668,0.0,0.14371463012423236,0.03372315610483385,,qp,QP_BUY,0.25,0.075,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,0.09640984237194061,,"{'rank_score': 0.5825027631213668, 'panel_score': 0.09640984237194061, 'rs_score': 0.0, 'mu': 0.03372315610483385, 'sigma': 0.14371463012423236, 'kelly_target_pct': 0.075, 'expected_return': 0.03372315610483385, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.051838816424797776, 'target_w': 0.051838816424797776, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",4,,,,,,,,,,,,,,,,,
sell,MS,2024-08-05,92.05158569488526,59.0,,BEAR,,,,,,ExitPipeline,SELL_stop_loss,0.5,,exit_decision_v1,TickerSellJob,stop_loss,TickerSellJob.stop_loss,,,"{'rank_score': 0.5832733087550153, 'panel_score': 0.09952123463153839, 'mu': 0.033994807406899655, 'sigma': 0.20159867777179835, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'stop_loss', 'exit_reason': 'stop_loss', 'signal_reason': 'stop_loss loss=7.6% ≥ 5.0% (abs=5.0% / σN=0.0%)', 'partial': False, 'quantity': None, 'hold_days': 34, 'pnl_pct': -0.07643574862191437, 'stop_loss_pct': 0.05, 'stop_n_sigma': None, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': None, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': None, 'max_hold_days': 500}",5,-449.4824040466301,5880.525960044861,-449.4824040466301,-0.07643574862191437,34.0,0.0,stop_loss,False,stop_loss loss=7.6% ≥ 5.0% (abs=5.0% / σN=0.0%),0.05,,0.0,,0.1,0.05,,500.0
sell,BAC,2024-08-05,36.64267152557373,129.0,,BEAR,,,,,,ExitPipeline,SELL_stop_loss,0.5,,exit_decision_v1,TickerSellJob,stop_loss,TickerSellJob.stop_loss,,,"{'rank_score': 0.6005912226573241, 'panel_score': 0.1698673516511917, 'mu': 0.04010406402779188, 'sigma': 0.20904340832371207, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'stop_loss', 'exit_reason': 'stop_loss', 'signal_reason': 'stop_loss loss=16.7% ≥ 5.0% (abs=5.0% / σN=0.0%)', 'partial': False, 'quantity': None, 'hold_days': 19, 'pnl_pct': -0.16699988999546184, 'stop_loss_pct': 0.05, 'stop_n_sigma': None, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': None, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': None, 'max_hold_days': 500}",6,-947.6499981376637,5674.554624936675,-947.6499981376637,-0.16699988999546184,19.0,0.0,stop_loss,False,stop_loss loss=16.7% ≥ 5.0% (abs=5.0% / σN=0.0%),0.05,,0.0,,0.1,0.05,,500.0
buy,KMI,2024-08-15,21.114222610473632,274.0,5785.296995269775,BULL_CALM,0.6060856865710816,0.0,0.16152129641217394,0.04204441571009098,1.0,TopUpJob.TopUpHeldTask,TOP_UP,0.7500511327722569,,order_attribution_v1,TopUpJob,TopUpHeldTask,TopUpJob.TopUpHeldTask,0.19239099323749542,,"{'rank_score': 0.6060856865710816, 'panel_score': 0.19239099323749542, 'rs_score': 0.0, 'mu': 0.04204441571009098, 'sigma': 0.16152129641217394, 'kelly_target_pct': 0.11250766991583852, 'expected_return': 0.04204441571009098, 'confidence': 0.7500511327722569, 'regime': 'BULL_CALM'}","{'current_pct': 0.05432789756958481, 'kelly_target_pct': 0.11250766991583852, 'delta_pct': 0.05817977234625371, 'top_up_threshold': 0.05, 'topup_conviction_floor': 0.2, 'cash_before': 81753.2417319759, 'acceptance_reason': 'kelly_target_above_current_weight', 'order_type': 'TOP_UP', 'source_job': 'TopUpJob', 'source_task': 'TopUpHeldTask'}",7,,,,,,,,,,,,,,,,,
buy,DUK,2024-08-15,113.13262261047363,50.0,5656.631130523681,BULL_CALM,0.5182241293565519,0.0,0.14373631076497886,0.011084132123010803,1.0,TopUpJob.TopUpHeldTask,TOP_UP,0.7500511327722569,,order_attribution_v1,TopUpJob,TopUpHeldTask,TopUpJob.TopUpHeldTask,-0.15878906846046448,,"{'rank_score': 0.5182241293565519, 'panel_score': -0.15878906846046448, 'rs_score': 0.0, 'mu': 0.011084132123010803, 'sigma': 0.14373631076497886, 'kelly_target_pct': 0.11250766991583852, 'expected_return': 0.011084132123010803, 'confidence': 0.7500511327722569, 'regime': 'BULL_CALM'}","{'current_pct': 0.05458042707470565, 'kelly_target_pct': 0.11250766991583852, 'delta_pct': 0.05792724284113287, 'top_up_threshold': 0.05, 'topup_conviction_floor': 0.2, 'cash_before': 81753.2417319759, 'acceptance_reason': 'kelly_target_above_current_weight', 'order_type': 'TOP_UP', 'source_job': 'TopUpJob', 'source_task': 'TopUpHeldTask'}",8,,,,,,,,,,,,,,,,,
buy,GS,2024-08-19,504.7809286743164,11.0,5552.59021541748,BULL_CALM,0.6275879575769301,0.014868139009091008,0.25018383200424654,0.04965040119898764,,qp,QP_BUY,0.7635657230281827,0.1145348584542274,order_attribution_v1,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,0.28166019916534424,,"{'rank_score': 0.6275879575769301, 'panel_score': 0.28166019916534424, 'rs_score': 0.014868139009091008, 'mu': 0.04965040119898764, 'sigma': 0.25018383200424654, 'kelly_target_pct': 0.1145348584542274, 'expected_return': 0.04965040119898764, 'confidence': 0.7635657230281827, 'regime': 'BULL_CALM'}","{'delta_w': 0.05645646840288289, 'target_w': 0.05645646840288289, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",9,,,,,,,,,,,,,,,,,
