status,ticker,entry_event_id,exit_event_id,entry_date,exit_date,hold_days,shares,entry_price,exit_price,gross_pnl,tax,net_pnl_after_tax,tax_allocation_method,pnl_pct,sim_sell_pnl_pct,exit_reason,partial_exit,exit_regime,exit_confidence,exit_signal_reason,exit_stop_loss_pct,exit_stop_n_sigma,exit_take_profit_pct,exit_stop_decay_days,exit_stop_decay_floor,exit_max_single_day_loss_pct,exit_sdl_n_sigma,exit_sdl_skip_if_unrealized_above,exit_trailing_stop_trigger_pct,exit_trailing_stop_trail_pct,exit_atr_n_multiplier,exit_max_hold_days,exit_source,exit_source_job,exit_source_task,exit_order_source,exit_order_type,exit_attribution_version,exit_score_snapshot,exit_decision_inputs,entry_regime,entry_rank_score,entry_rs_score,entry_panel_score,entry_mu,entry_sigma,entry_sigma_mult,entry_kelly_target_pct,entry_expected_return,entry_source,entry_source_job,entry_source_task,entry_order_source,entry_order_type,entry_attribution_version,entry_score_snapshot,entry_decision_inputs,entry_thesis,outcome
closed,MS,0,11.0,2024-07-02,2024-08-05,34.0,74.0,99.66993152618409,92.05158569488526,-563.757591516113,0.0,-563.757591516113,positive_gross,-0.07643574862191438,-0.07643574862191437,stop_loss,False,BEAR,0.5,stop_loss loss=7.6% ≥ 5.0% (abs=5.0% / σN=0.0%),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,500.0,ExitPipeline,TickerSellJob,stop_loss,TickerSellJob.stop_loss,SELL_stop_loss,exit_decision_v1,"{'rank_score': 0.6100154654585062, 'panel_score': 0.09952123463153839, 'mu': 0.02862584594768332, 'sigma': 0.20159867777179835, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'stop_loss', 'exit_reason': 'stop_loss', 'signal_reason': 'stop_loss loss=7.6% ≥ 5.0% (abs=5.0% / σN=0.0%)', 'partial': False, 'quantity': None, 'hold_days': 34, 'pnl_pct': -0.07643574862191437, 'stop_loss_pct': 0.05, 'stop_n_sigma': 0, 'take_profit_pct': 0, 'stop_decay_days': 0, 'stop_decay_floor': 0, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 0, 'sdl_skip_if_unrealized_above': 0, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': 0, 'max_hold_days': 500, 'max_hold_anchor_regime': 'BULL_CALM'}",BULL_CALM,0.6591981902415078,0.015745702329861055,0.2789556682109833,0.046486782052042645,0.201885435110876,,0.075,,qp,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,QP_BUY,order_attribution_v1,"{'rank_score': 0.6591981902415078, 'panel_score': 0.2789556682109833, 'rs_score': 0.015745702329861055, 'mu': 0.046486782052042645, 'sigma': 0.201885435110876, 'kelly_target_pct': 0.075, 'expected_return': 0.046486782052042645, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.07456518872624009, 'target_w': 0.07456518872624009, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",Trend/momentum continuation: cross-sectional rank should select relative winners while market volatility is benign.,loss
closed,XOM,1,34.0,2024-07-02,2024-12-24,175.0,65.0,114.20283630523681,106.37872152557374,-508.5674606781,0.0,-508.5674606781,positive_gross,-0.06851068706166888,-0.06851068706166888,stop_loss,False,BEAR,0.5,stop_loss loss=6.8% ≥ 5.0% (abs=5.0% / σN=0.0%),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,500.0,ExitPipeline,TickerSellJob,stop_loss,TickerSellJob.stop_loss,SELL_stop_loss,exit_decision_v1,"{'rank_score': 0.5784468610335247, 'panel_score': -0.011153647676110268, 'mu': 0.017351637765317774, 'sigma': 0.18116210385847328, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'stop_loss', 'exit_reason': 'stop_loss', 'signal_reason': 'stop_loss loss=6.8% ≥ 5.0% (abs=5.0% / σN=0.0%)', 'partial': False, 'quantity': None, 'hold_days': 175, 'pnl_pct': -0.06851068706166888, 'stop_loss_pct': 0.05, 'stop_n_sigma': 0, 'take_profit_pct': 0, 'stop_decay_days': 0, 'stop_decay_floor': 0, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 0, 'sdl_skip_if_unrealized_above': 0, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': 0, 'max_hold_days': 500, 'max_hold_anchor_regime': 'BULL_CALM'}",BULL_CALM,0.6515166764141505,-0.006435711382558829,0.2502114474773407,0.04366980649183185,0.181157506867246,,0.075,,qp,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,QP_BUY,order_attribution_v1,"{'rank_score': 0.6515166764141505, 'panel_score': 0.2502114474773407, 'rs_score': -0.006435711382558829, 'mu': 0.04366980649183185, 'sigma': 0.181157506867246, 'kelly_target_pct': 0.075, 'expected_return': 0.04366980649183185, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.0749999983123279, 'target_w': 0.0749999983123279, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",Trend/momentum continuation: cross-sectional rank should select relative winners while market volatility is benign.,loss
closed,MSFT,3,12.0,2024-07-03,2024-08-05,33.0,12.0,460.8621430114746,395.0709638977051,-789.4941493652339,0.0,-789.4941493652339,positive_gross,-0.14275674431373594,-0.14275674431373606,stop_loss,False,BEAR,0.5,stop_loss loss=14.3% ≥ 5.0% (abs=5.0% / σN=0.0%),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,500.0,ExitPipeline,TickerSellJob,stop_loss,TickerSellJob.stop_loss,SELL_stop_loss,exit_decision_v1,"{'rank_score': 0.6002338904495534, 'panel_score': 0.06492970138788223, 'mu': 0.025118441509128453, 'sigma': 0.19437392149369373, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'stop_loss', 'exit_reason': 'stop_loss', 'signal_reason': 'stop_loss loss=14.3% ≥ 5.0% (abs=5.0% / σN=0.0%)', 'partial': False, 'quantity': None, 'hold_days': 33, 'pnl_pct': -0.14275674431373606, 'stop_loss_pct': 0.05, 'stop_n_sigma': 0, 'take_profit_pct': 0, 'stop_decay_days': 0, 'stop_decay_floor': 0, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 0, 'sdl_skip_if_unrealized_above': 0, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': 0, 'max_hold_days': 500, 'max_hold_anchor_regime': 'BULL_CALM'}",BULL_CALM,0.603597010802375,0.007779592008680725,0.07678991556167603,0.026322874462205204,0.19251388976372383,,0.075,,qp,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,QP_BUY,order_attribution_v1,"{'rank_score': 0.603597010802375, 'panel_score': 0.07678991556167603, 'rs_score': 0.007779592008680725, 'mu': 0.026322874462205204, 'sigma': 0.19251388976372383, 'kelly_target_pct': 0.075, 'expected_return': 0.026322874462205204, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.05857410691706404, 'target_w': 0.05857410691706404, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",Trend/momentum continuation: cross-sectional rank should select relative winners while market volatility is benign.,loss
closed,DUK,2,31.0,2024-07-03,2024-11-06,126.0,75.0,99.8599643371582,113.60727125396728,1031.048018760681,515.5240093803409,515.5240093803402,positive_gross,0.13766585045428126,0.13766585045428126,trailing_stop,False,BEAR,0.5,trailing_stop trail_floor=114.72 (trail_pct=5.0%),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,500.0,ExitPipeline,TickerSellJob,trailing_stop,TickerSellJob.trailing_stop,SELL_trailing_stop,exit_decision_v1,"{'rank_score': 0.5096107641832361, 'panel_score': -0.246024027466774, 'mu': -0.006854872863899859, 'sigma': 0.15698110715653682, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'trailing_stop', 'exit_reason': 'trailing_stop', 'signal_reason': 'trailing_stop trail_floor=114.72 (trail_pct=5.0%)', 'partial': False, 'quantity': None, 'hold_days': 126, 'pnl_pct': 0.13766585045428126, 'stop_loss_pct': 0.05, 'stop_n_sigma': 0, 'take_profit_pct': 0, 'stop_decay_days': 0, 'stop_decay_floor': 0, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 0, 'sdl_skip_if_unrealized_above': 0, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': 0, 'max_hold_days': 500, 'max_hold_anchor_regime': 'BULL_CALM'}",BULL_CALM,0.6265002212724576,0.0022249911228953145,0.15854831039905548,0.034568402762474415,0.15771267775996653,,0.075,,qp,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,QP_BUY,order_attribution_v1,"{'rank_score': 0.6265002212724576, 'panel_score': 0.15854831039905548, 'rs_score': 0.0022249911228953145, 'mu': 0.034568402762474415, 'sigma': 0.15771267775996653, 'kelly_target_pct': 0.075, 'expected_return': 0.034568402762474415, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.0748980577360794, 'target_w': 0.0748980577360794, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",Trend/momentum continuation: cross-sectional rank should select relative winners while market volatility is benign.,win
closed,WMT,4,43.0,2024-07-03,2025-02-27,239.0,83.0,68.25364586334229,96.77064291534424,2366.910755316162,1183.4553776580808,1183.4553776580813,positive_gross,0.4178091395893898,0.37201757716046646,trailing_stop,False,BEAR,0.5,trailing_stop trail_floor=99.80 (trail_pct=5.0%),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,500.0,ExitPipeline,TickerSellJob,trailing_stop,TickerSellJob.trailing_stop,SELL_trailing_stop,exit_decision_v1,"{'rank_score': 0.6117448551952743, 'panel_score': 0.10566987842321396, 'mu': 0.029247413513571567, 'sigma': 0.20233677102862344, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'trailing_stop', 'exit_reason': 'trailing_stop', 'signal_reason': 'trailing_stop trail_floor=99.80 (trail_pct=5.0%)', 'partial': False, 'quantity': None, 'hold_days': 239, 'pnl_pct': 0.37201757716046646, 'stop_loss_pct': 0.05, 'stop_n_sigma': 0, 'take_profit_pct': 0, 'stop_decay_days': 0, 'stop_decay_floor': 0, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 0, 'sdl_skip_if_unrealized_above': 0, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': 0, 'max_hold_days': 500, 'max_hold_anchor_regime': 'BULL_CALM'}",BULL_CALM,0.6042982641187608,-0.04182620729330444,0.0792681947350502,0.026574253687571228,0.1962863570029179,,0.075,,qp,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,QP_BUY,order_attribution_v1,"{'rank_score': 0.6042982641187608, 'panel_score': 0.0792681947350502, 'rs_score': -0.04182620729330444, 'mu': 0.026574253687571228, 'sigma': 0.1962863570029179, 'kelly_target_pct': 0.075, 'expected_return': 0.026574253687571228, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.05663031582808923, 'target_w': 0.05663031582808923, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",Trend/momentum continuation: cross-sectional rank should select relative winners while market volatility is benign.,win
closed,MO,6,35.0,2024-07-05,2024-12-24,172.0,152.0,46.109218473815915,53.45930722045899,1117.2134894897472,558.6067447448736,558.6067447448736,positive_gross,0.15940605783238282,0.15940605783238282,trailing_stop,False,BEAR,0.5,trailing_stop trail_floor=54.85 (trail_pct=5.0%),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,500.0,ExitPipeline,TickerSellJob,trailing_stop,TickerSellJob.trailing_stop,SELL_trailing_stop,exit_decision_v1,"{'rank_score': 0.6099893608535759, 'panel_score': 0.09942842274904251, 'mu': 0.02861646357689668, 'sigma': 0.13947035592102663, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'trailing_stop', 'exit_reason': 'trailing_stop', 'signal_reason': 'trailing_stop trail_floor=54.85 (trail_pct=5.0%)', 'partial': False, 'quantity': None, 'hold_days': 172, 'pnl_pct': 0.15940605783238282, 'stop_loss_pct': 0.05, 'stop_n_sigma': 0, 'take_profit_pct': 0, 'stop_decay_days': 0, 'stop_decay_floor': 0, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 0, 'sdl_skip_if_unrealized_above': 0, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': 0, 'max_hold_days': 500, 'max_hold_anchor_regime': 'BULL_CALM'}",BULL_CALM,0.601377863194909,-0.08110102176685885,0.0689610093832016,0.025527997059332667,0.14142757871228911,,0.075,,qp,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,QP_BUY,order_attribution_v1,"{'rank_score': 0.601377863194909, 'panel_score': 0.0689610093832016, 'rs_score': -0.08110102176685885, 'mu': 0.025527997059332667, 'sigma': 0.14142757871228911, 'kelly_target_pct': 0.075, 'expected_return': 0.025527997059332667, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.07001103058952894, 'target_w': 0.07001103058952894, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",Trend/momentum continuation: cross-sectional rank should select relative winners while market volatility is benign.,win
closed,KMI,5,44.0,2024-07-05,2025-02-27,237.0,377.0,19.893977389526366,26.204757084655764,2379.163945063783,1189.581972531891,1189.581972531892,positive_gross,0.3172206126288175,0.3172206126288175,trailing_stop,False,BEAR,0.5,trailing_stop trail_floor=29.66 (trail_pct=5.0%),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,500.0,ExitPipeline,TickerSellJob,trailing_stop,TickerSellJob.trailing_stop,SELL_trailing_stop,exit_decision_v1,"{'rank_score': 0.5082207617612754, 'panel_score': -0.2507235109806061, 'mu': -0.007339497960225508, 'sigma': 0.16152129641217394, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'trailing_stop', 'exit_reason': 'trailing_stop', 'signal_reason': 'trailing_stop trail_floor=29.66 (trail_pct=5.0%)', 'partial': False, 'quantity': None, 'hold_days': 237, 'pnl_pct': 0.3172206126288175, 'stop_loss_pct': 0.05, 'stop_n_sigma': 0, 'take_profit_pct': 0, 'stop_decay_days': 0, 'stop_decay_floor': 0, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 0, 'sdl_skip_if_unrealized_above': 0, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': 0, 'max_hold_days': 500, 'max_hold_anchor_regime': 'BULL_CALM'}",BULL_CALM,0.627090520293834,0.0026052580507915923,0.16068227589130402,0.03478203692854136,0.16365299065357564,,0.075,,qp,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,QP_BUY,order_attribution_v1,"{'rank_score': 0.627090520293834, 'panel_score': 0.16068227589130402, 'rs_score': 0.0026052580507915923, 'mu': 0.03478203692854136, 'sigma': 0.16365299065357564, 'kelly_target_pct': 0.075, 'expected_return': 0.03478203692854136, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.07499999828808611, 'target_w': 0.07499999828808611, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",Trend/momentum continuation: cross-sectional rank should select relative winners while market volatility is benign.,win
closed,BAC,7,13.0,2024-07-17,2024-08-05,19.0,152.0,43.98879554214477,36.64267152557373,-1116.610850518798,0.0,-1116.610850518798,positive_gross,-0.16699988999546186,-0.16699988999546184,stop_loss,False,BEAR,0.5,stop_loss loss=16.7% ≥ 5.0% (abs=5.0% / σN=0.0%),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,500.0,ExitPipeline,TickerSellJob,stop_loss,TickerSellJob.stop_loss,SELL_stop_loss,exit_decision_v1,"{'rank_score': 0.6296295010697164, 'panel_score': 0.1698673516511917, 'mu': 0.03570117581394403, 'sigma': 0.20904340832371207, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'stop_loss', 'exit_reason': 'stop_loss', 'signal_reason': 'stop_loss loss=16.7% ≥ 5.0% (abs=5.0% / σN=0.0%)', 'partial': False, 'quantity': None, 'hold_days': 19, 'pnl_pct': -0.16699988999546184, 'stop_loss_pct': 0.05, 'stop_n_sigma': 0, 'take_profit_pct': 0, 'stop_decay_days': 0, 'stop_decay_floor': 0, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 0, 'sdl_skip_if_unrealized_above': 0, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': 0, 'max_hold_days': 500, 'max_hold_anchor_regime': 'BULL_CALM'}",BULL_CALM,0.6408569382882674,0.044616041167750975,0.21081644296646118,0.03977874073731372,0.20608490244942987,,0.075,,qp,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,QP_BUY,order_attribution_v1,"{'rank_score': 0.6408569382882674, 'panel_score': 0.21081644296646118, 'rs_score': 0.044616041167750975, 'mu': 0.03977874073731372, 'sigma': 0.20608490244942987, 'kelly_target_pct': 0.075, 'expected_return': 0.03977874073731372, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.06587229105762811, 'target_w': 0.06587229105762811, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",Trend/momentum continuation: cross-sectional rank should select relative winners while market volatility is benign.,loss
closed,FTNT,8,14.0,2024-07-17,2024-08-05,19.0,89.0,59.12182261047363,55.37892138977051,-333.1182086425775,0.0,-333.1182086425775,positive_gross,-0.06330828542555875,-0.06330828542555887,stop_loss,False,BEAR,0.5,stop_loss loss=6.3% ≥ 5.0% (abs=5.0% / σN=0.0%),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,500.0,ExitPipeline,TickerSellJob,stop_loss,TickerSellJob.stop_loss,SELL_stop_loss,exit_decision_v1,"{'rank_score': 0.5966719715693453, 'panel_score': 0.05240417271852493, 'mu': 0.023844460466345346, 'sigma': 0.29925766783642066, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'stop_loss', 'exit_reason': 'stop_loss', 'signal_reason': 'stop_loss loss=6.3% ≥ 5.0% (abs=5.0% / σN=0.0%)', 'partial': False, 'quantity': None, 'hold_days': 19, 'pnl_pct': -0.06330828542555887, 'stop_loss_pct': 0.05, 'stop_n_sigma': 0, 'take_profit_pct': 0, 'stop_decay_days': 0, 'stop_decay_floor': 0, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 0, 'sdl_skip_if_unrealized_above': 0, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': 0, 'max_hold_days': 500, 'max_hold_anchor_regime': 'BULL_CALM'}",BULL_CALM,0.6135252902857092,-0.00014360903705712413,0.11200911551713943,0.02988772049973406,0.29779353095481537,,0.075,,qp,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,QP_BUY,order_attribution_v1,"{'rank_score': 0.6135252902857092, 'panel_score': 0.11200911551713943, 'rs_score': -0.00014360903705712413, 'mu': 0.02988772049973406, 'sigma': 0.29779353095481537, 'kelly_target_pct': 0.075, 'expected_return': 0.02988772049973406, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.051780727148866876, 'target_w': 0.051780727148866876, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",Trend/momentum continuation: cross-sectional rank should select relative winners while market volatility is benign.,loss
closed,NFLX,9,15.0,2024-07-18,2024-08-05,18.0,85.0,64.31686165466309,59.84302854232788,-380.2758145484926,0.0,-380.2758145484926,positive_gross,-0.06955925704765549,-0.0695592570476555,stop_loss,False,BEAR,0.5,stop_loss loss=6.9% ≥ 5.0% (abs=5.0% / σN=0.0%),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,500.0,ExitPipeline,TickerSellJob,stop_loss,TickerSellJob.stop_loss,SELL_stop_loss,exit_decision_v1,"{'rank_score': 0.585056087008373, 'panel_score': 0.011799918487668037, 'mu': 0.01970145517758185, 'sigma': 0.23409806214980666, 'kelly_target_pct': 0.0, 'confidence': 0.5, 'regime': 'BEAR'}","{'acceptance_reason': 'stop_loss', 'exit_reason': 'stop_loss', 'signal_reason': 'stop_loss loss=6.9% ≥ 5.0% (abs=5.0% / σN=0.0%)', 'partial': False, 'quantity': None, 'hold_days': 18, 'pnl_pct': -0.0695592570476555, 'stop_loss_pct': 0.05, 'stop_n_sigma': 0, 'take_profit_pct': 0, 'stop_decay_days': 0, 'stop_decay_floor': 0, 'max_single_day_loss_pct': 0.0, 'sdl_n_sigma': 0, 'sdl_skip_if_unrealized_above': 0, 'trailing_stop_trigger_pct': 0.1, 'trailing_stop_trail_pct': 0.05, 'atr_n_multiplier': 0, 'max_hold_days': 500, 'max_hold_anchor_regime': 'BULL_CALM'}",BULL_CALM,0.5963156472830183,-0.03179379595458043,0.051151979714632034,0.023717053221210045,0.24545140688823644,,0.075,,qp,JointPortfolioQPJob,JointPortfolioQPTask,JointPortfolioQPJob.JointPortfolioQPTask,QP_BUY,order_attribution_v1,"{'rank_score': 0.5963156472830183, 'panel_score': 0.051151979714632034, 'rs_score': -0.03179379595458043, 'mu': 0.023717053221210045, 'sigma': 0.24545140688823644, 'kelly_target_pct': 0.075, 'expected_return': 0.023717053221210045, 'confidence': 0.25, 'regime': 'BULL_CALM'}","{'delta_w': 0.054111109959164634, 'target_w': 0.054111109959164634, 'solver_status': 'optimal', 'acceptance_reason': 'qp_target_weight_increase', 'order_type': 'QP_BUY', 'source_job': 'JointPortfolioQPJob', 'source_task': 'JointPortfolioQPTask'}",Trend/momentum continuation: cross-sectional rank should select relative winners while market volatility is benign.,loss
